early_cs_per_min,early_vision_per_min,early_deaths_per_min,early_kill_participation,early_damage_share,early_solo_kills,early_objective_proximity,mid_cs_per_min,mid_vision_per_min,mid_deaths_per_min,mid_kill_participation,mid_damage_share,mid_solo_kills,mid_objective_proximity,late_cs_per_min,late_vision_per_min,late_deaths_per_min,late_kill_participation,late_damage_share,late_solo_kills,late_objective_proximity,early_first_blood_involved,puuid,match_id,patch,early_duration_min,mid_duration_min,late_duration_min,win,tier
7.0,0.2143,0.2857,0.5455,0.3095,1,0.0,9.7273,0.0909,0.0909,0.4,0.1967,0.0,0.0909,6.006,0.0,0.3754,0.3889,0.2401,3.0,0.3529,1,dt-HQVBDAAE6wvKhcieZo-kOoldUWL5QwjLYlFgR-RGLAKqZaiiMeWfPRpORG0gjdJylPWpIdRXcEA,BR1_3260880738,16.13,14.0,11.0,10.656,1,DIAMOND
7.3571,0.2143,0.0,0.3333,0.0645,0,0.0,7.2021,0.0,0.2216,0.5,0.2294,0.0,0.0909,3.5812,0.0,0.0,0.0,0.1786,0.0,0.5,0,eo_jjwwOGH0jto-Wu6JNKr7rNnlIugQiQiiXcBQq7eO1CJpP6hwh_UTWxU9N_KgBUm1qUEZfO9Fq2Q,BR1_3278118174,16.17,14.0,9.025,0.558,0,DIAMOND
6.8788,0.5472,0.1563,0.5,0.3286,1,0.8,7.2078,0.4004,0.267,0.3571,0.3088,1.0,0.25,3.7235,0.0,0.0,0.8571,0.5708,0.0,0.25,0,XZ-vs9QK81XORoD9f2fZDjnYRwK4CtLWjKDDLOObrEVhMZjJwq0_CEER8-QVF6uRgYADnIvpM4P-4Q,BR1_3276432765,16.17,12.793,7.492,2.148,1,DIAMOND
8.2857,0.5,0.1429,0.5,0.1885,0,0.0,7.0849,0.8997,0.3374,0.2941,0.172,0.0,0.3333,4.858,0.9109,0.4554,0.3333,0.1739,0.0,0.0,0,xRzcYR9_au5z69aKIpeLufbIrr_gMVf3OMVwixwBuw9L-hwv75egApsamH1KaCIKy21GruG8Hn93Jg,BR1_3265497930,16.14,14.0,8.892,6.587,1,DIAMOND
0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,0,xRzcYR9_au5z69aKIpeLufbIrr_gMVf3OMVwixwBuw9L-hwv75egApsamH1KaCIKy21GruG8Hn93Jg,BR1_3265496942,16.14,1.109,0.0,0.0,1,DIAMOND
6.0812,0.3159,0.158,0.3636,0.2036,1,0.0,6.8241,0.3791,0.3791,0.4,0.2582,0.0,0.125,11.2583,0.5361,0.0,0.2222,0.1416,1.0,0.3333,1,xRzcYR9_au5z69aKIpeLufbIrr_gMVf3OMVwixwBuw9L-hwv75egApsamH1KaCIKy21GruG8Hn93Jg,BR1_3265492739,16.14,12.662,10.551,3.731,1,DIAMOND
7.077,0.2889,0.0722,0.5455,0.3619,2,0.0,5.0214,0.0,0.538,0.4,0.2714,4.0,0.0,3.5645,0.0,0.4817,0.4091,0.211,1.0,0.1429,0,xRzcYR9_au5z69aKIpeLufbIrr_gMVf3OMVwixwBuw9L-hwv75egApsamH1KaCIKy21GruG8Hn93Jg,BR1_3265482608,16.14,13.848,11.152,10.38,1,DIAMOND
6.7857,0.4286,0.2857,0.25,0.2819,1,0.0,9.0,0.2727,0.1818,0.2778,0.2461,4.0,0.3333,2.4065,0.2602,0.4553,0.3793,0.2823,4.0,0.2353,0,sU-PgRGenB9jO_UQUfsO2CCpoup9rKFfqkWWlYz6s0vsAO78mxO6-usduG2W4MZ1Sfeg0oDGbgiLnA,BR1_3271084425,16.15,14.0,11.0,15.375,1,DIAMOND
6.6034,0.3752,0.2251,0.2308,0.2156,4,0.0,9.1883,0.375,0.1875,0.2857,0.2129,2.0,0.2857,,,,,,,,0,sU-PgRGenB9jO_UQUfsO2CCpoup9rKFfqkWWlYz6s0vsAO78mxO6-usduG2W4MZ1Sfeg0oDGbgiLnA,BR1_3270333901,16.15,13.326,5.333,0.0,1,DIAMOND
7.8571,0.3571,0.2857,0.375,0.2411,1,0.0,8.0251,0.2631,0.3947,0.7778,0.2815,2.0,0.0,8.4475,0.3249,0.1625,0.75,0.5327,3.0,0.1818,0,sU-PgRGenB9jO_UQUfsO2CCpoup9rKFfqkWWlYz6s0vsAO78mxO6-usduG2W4MZ1Sfeg0oDGbgiLnA,BR1_3270331738,16.15,14.0,7.601,6.156,1,DIAMOND
6.0714,0.4286,0.2143,0.2857,0.2619,3,0.0,5.5455,0.3636,0.4545,0.3636,0.182,1.0,0.1111,6.5392,0.1868,0.4671,0.4667,0.1828,1.0,0.0588,0,sU-PgRGenB9jO_UQUfsO2CCpoup9rKFfqkWWlYz6s0vsAO78mxO6-usduG2W4MZ1Sfeg0oDGbgiLnA,BR1_3270063688,16.15,14.0,11.0,10.705,1,DIAMOND
7.6429,0.2143,0.0714,0.2632,0.1892,4,0.0,12.3943,0.4958,0.0,0.4,0.3454,2.0,0.0,,,,,,,,0,ooTqhORxVu5CIeWLGSauc1VOM0lSq1UYpkjBfddj5x2w2uaGcNKGyk8-tGavuMGn9kAJ1GZibnXubg,BR1_3268000712,16.15,14.0,2.017,0.0,1,DIAMOND
7.7143,0.3571,0.2143,0.4,0.24,0,0.0,4.9091,0.3636,0.4545,0.6667,0.3115,1.0,0.25,15.426,0.0,0.0,0.0,0.0,0.0,0.125,0,ooTqhORxVu5CIeWLGSauc1VOM0lSq1UYpkjBfddj5x2w2uaGcNKGyk8-tGavuMGn9kAJ1GZibnXubg,BR1_3267916949,16.15,14.0,11.0,2.01,0,DIAMOND
