early_cs_per_min,early_vision_per_min,early_deaths_per_min,early_kill_participation,early_damage_share,early_solo_kills,early_objective_proximity,mid_cs_per_min,mid_vision_per_min,mid_deaths_per_min,mid_kill_participation,mid_damage_share,mid_solo_kills,mid_objective_proximity,late_cs_per_min,late_vision_per_min,late_deaths_per_min,late_kill_participation,late_damage_share,late_solo_kills,late_objective_proximity,early_first_blood_involved,puuid,match_id,patch,early_duration_min,mid_duration_min,late_duration_min,win
8.7143,0.1429,0.0714,0.0,0.0804,0,0.0,11.7273,0.3636,0.0,0.375,0.1239,0,0.2,6.8929,0.1365,0.4095,0.125,0.1436,0.0,0.2143,0,L6-pVFPDVQCqWwIG59YuHmkIouBbccpjbJPHDE4EfLA5MiMjR7b1YH4BNJB48EGiPEbRT8E9zKX-1g,BR1_3252837679,16.12,14.0,11.0,14.653,0
7.6116,0.3659,0.0732,0.75,0.3418,3,0.0,6.5275,0.3528,0.2646,0.7857,0.3821,2,0.1111,5.9975,0.4916,0.0983,0.95,0.5478,5.0,0.2308,0,KKjXQQFKjLuDohvmiTnXyFyK7fK8HLzJ5mrxsP-SpmMbB9J9JBeKhJeAjNGFVl6L_abRI9mgYI2knw,BR1_3252706078,16.12,13.663,11.337,10.171,1
7.2479,0.4578,0.1526,0.6,0.2523,2,0.0,6.3064,0.5886,0.3363,0.5882,0.2696,0,0.25,6.915,1.0373,0.5186,1.0,0.3893,2.0,0.0,0,CvoDTkDtoDPnxXgugaPQJT76ue7-tBrE2GbFT0D85V8fdAoR3M5rsP50quSwZVXPLECI26bZmvdF2A,BR1_3251791771,16.12,13.107,11.893,5.785,0
6.7657,0.472,0.236,0.3125,0.2026,2,0.0,6.4286,0.7324,0.3255,0.3478,0.1761,1,0.3333,3.4771,0.7633,0.424,0.5,0.2706,2.0,0.0,0,M1nMhcOhs_EnRPrbCKSJ2Mv9OyanRSKCVJoLq9HIpa6C815FON_myx6YOgKRMhUFsJIR9kRyOx4iXQ,BR1_3252607839,16.12,12.711,12.289,11.791,1
7.4481,0.2234,0.0745,0.1818,0.183,0,0.0,7.085,0.3456,0.2592,0.2727,0.2212,0,0.0,6.0696,0.4335,0.4335,0.3333,0.2279,1.0,0.0,0,rkgnxLwSKBlB9mmzy8b-m4UXW-AxOooSzjPuo7hNBV5qIL5x-l1LOlYZnIYaRAv5pQCMaZYtBSQ91w,BR1_3252430914,16.12,13.426,11.574,9.226,0
6.9286,0.3571,0.1429,0.4667,0.2527,1,0.0,7.6364,0.5455,0.2727,0.5882,0.2725,2,0.0,3.6278,0.5442,0.3628,0.4545,0.3005,0.0,0.5,0,A821OP-5dxawAlButOgGyKxGn9AiET1ryOsqmxOv2fKotNC9c6pOxYXlh_IROJz2qTCzVh1UnLKaDQ,BR1_3251717545,16.12,14.0,11.0,5.513,1
9.6755,0.3072,0.0,0.1,0.2071,1,0.0,8.85,0.4175,0.167,0.3333,0.1736,2,0.0,10.7302,0.438,0.219,0.75,0.3164,1.0,0.0833,0,WJgBkaDPOyifiUFUFhBVCUTLMnZOLY37LILj2KoBKSY5JzJ4WSEYOrm81EcPrZCC7JHuARYnVm2Wyw,BR1_3252701252,16.12,13.023,11.977,9.133,0
6.5714,0.3571,0.1429,0.125,0.0929,1,0.0,7.0,0.4545,0.1818,0.5,0.1609,0,0.0,5.7238,0.3577,0.0,0.5714,0.1688,0.0,0.2,0,Z2Q5SR4t5ek_GtKViZsd2BdzhlfhqwYXqkcNSbH1WAtsJCU5tKI6ezonLIQe_TZlFWkuU47v2ycqFQ,BR1_3252724197,16.12,14.0,11.0,8.386,1
6.7498,0.2355,0.0785,0.6316,0.328,0,0.0,3.0998,0.0816,0.0,0.5,0.3633,2,0.2,,,,,,,,0,E_Hyj5N6NU7iTCdB2kUCdLvjMtldL52ySWByt4Z3gfp148CIsIeTXm0RMmLpDocaPF0dIgaLkVddUw,BR1_3252490234,16.12,12.741,12.259,-8.602,1
6.7143,0.3571,0.1429,0.1667,0.1562,0,0.0,7.0,0.4545,0.1818,0.6154,0.19,3,0.1111,7.1686,0.1062,0.1062,0.4848,0.2681,2.0,0.3125,0,0DDlx4jWKb2TwTD_n9096jPYvQithEzVzfBPTZ_9JF4AlgLp-MF41GqNbw1prpzvWrZGiuDhxJ5QGQ,BR1_3252421503,16.12,14.0,11.0,18.832,1
