early_cs_per_min,early_vision_per_min,early_deaths_per_min,early_kill_participation,early_damage_share,early_solo_kills,early_objective_proximity,mid_cs_per_min,mid_vision_per_min,mid_deaths_per_min,mid_kill_participation,mid_damage_share,mid_solo_kills,mid_objective_proximity,late_cs_per_min,late_vision_per_min,late_deaths_per_min,late_kill_participation,late_damage_share,late_solo_kills,late_objective_proximity,early_first_blood_involved,puuid,match_id,early_duration_min,mid_duration_min,late_duration_min,win
7.9081,0.0,0.0719,0.1818,0.2601,2,0.0,7.2136,0.0,0.3607,0.2917,0.2192,3,0.1818,2.0792,0.0,0.3199,0.6667,0.2632,1.0,0.25,0,WdGDFFJT49BLLEhBhX4G9TWEYGv_LP7YMpJO9VumhtELsO4qKXYgDSzWE7Ot945HmZiarEEAr0hBFA,BR1_3252553872,13.91,11.09,6.252,1
5.9941,0.0,0.2889,0.2,0.2152,0,0.0,9.0861,0.0,0.0977,0.1429,0.1255,0,0.0,6.3096,0.0,0.1829,0.4091,0.1367,0.0,0.3125,0,OWQ1sz9b8B7JqhDwX2rV8A0au_dRIC1_VBpYz8BWZ17v26kCHq0ySXIxzbRfyTx-5S5CxyV__dPu-Q,BR1_3252542992,13.847,10.235,10.936,0
8.5029,0.0,0.0715,0.3846,0.3644,3,0.0,9.9481,0.0,0.2117,0.5882,0.3837,5,0.2727,4.4729,0.0,0.2156,0.5862,0.2647,2.0,0.0,0,gPkDaebGY5pMFcvrmMScQ9UlGU5gA8-EDD2rEtJqs4Axmz6VXXY-BMaskAJsGnn3zqAipZpI6JDfiA,BR1_3252837670,13.995,9.449,18.556,1
7.3571,0.0,0.0714,0.3333,0.2776,2,0.0,6.2727,0.0,0.2727,0.5556,0.2192,1,0.1,6.3744,0.0,0.2924,0.4483,0.2006,2.0,0.0667,0,gPkDaebGY5pMFcvrmMScQ9UlGU5gA8-EDD2rEtJqs4Axmz6VXXY-BMaskAJsGnn3zqAipZpI6JDfiA,BR1_3252785819,14.0,11.0,17.1,1
9.1516,0.0,0.0,0.3846,0.2917,4,0.0,8.6859,0.0,0.1609,0.65,0.304,2,0.1538,2.309,0.0,0.3299,0.4,0.2661,2.0,0.25,0,gPkDaebGY5pMFcvrmMScQ9UlGU5gA8-EDD2rEtJqs4Axmz6VXXY-BMaskAJsGnn3zqAipZpI6JDfiA,BR1_3252665731,12.566,12.434,3.032,1
5.6314,0.0,0.2522,1.0,0.2717,2,0.0,9.3477,0.0,0.2526,0.5714,0.2731,1,0.0526,8.3555,0.0,0.3038,0.1667,0.2691,0.0,0.375,0,gPkDaebGY5pMFcvrmMScQ9UlGU5gA8-EDD2rEtJqs4Axmz6VXXY-BMaskAJsGnn3zqAipZpI6JDfiA,BR1_3252644913,11.898,11.875,6.582,0
7.0561,0.0,0.17,0.25,0.2054,2,0.0,5.8925,0.0,0.3022,0.4545,0.267,5,0.0833,4.2579,0.0,0.6387,0.1667,0.2247,0.0,0.0,0,cRNieDRj6dPQ2MhN7McPLFy4eSIWK3RR2MHOBVNGR4oakywJzwUZSHJDWy8qXFlXOiQtJ1XzSD5sLQ,BR1_3252706317,11.763,13.237,9.394,0
6.4542,0.0,0.2901,0.0,0.2306,0,0.2,7.1362,0.0,0.446,0.0833,0.124,0,0.0,7.3783,0.0,0.1251,0.3333,0.1157,0.0,0.0833,0,cRNieDRj6dPQ2MhN7McPLFy4eSIWK3RR2MHOBVNGR4oakywJzwUZSHJDWy8qXFlXOiQtJ1XzSD5sLQ,BR1_3252637195,13.79,11.21,7.996,1
3.6501,0.0,0.3042,0.5333,0.3411,4,0.0,5.1478,0.0,0.2532,0.3182,0.2214,1,0.0,,,,,,,,1,cRNieDRj6dPQ2MhN7McPLFy4eSIWK3RR2MHOBVNGR4oakywJzwUZSHJDWy8qXFlXOiQtJ1XzSD5sLQ,BR1_3252524567,13.15,11.85,-1.938,1
7.3571,0.0,0.0714,0.375,0.2158,2,0.0,8.7911,0.0,0.2624,0.4,0.2464,0,0.0,6.1475,0.0,0.4391,0.4118,0.3257,3.0,0.0,0,cRNieDRj6dPQ2MhN7McPLFy4eSIWK3RR2MHOBVNGR4oakywJzwUZSHJDWy8qXFlXOiQtJ1XzSD5sLQ,BR1_3252503686,14.0,7.621,13.664,1
5.7857,0.0,0.5,0.3333,0.2435,2,0.2,10.2968,0.0,0.3711,0.1667,0.1112,0,0.1667,10.9068,0.0,0.1818,0.0,0.0593,0.0,0.1667,1,qFg-2IZP633Y62fB_lj_0f95rM8fQM8l3wdrDVdct0qDM00u8C6roZ_UR9yEr_mpq9nGgWTAE0Vx3A,BR1_3252756895,14.0,10.78,5.501,1
6.7143,0.0,0.2143,0.25,0.2312,2,0.0,5.0909,0.0,0.4545,0.6,0.1687,0,0.1818,5.2865,0.0,0.3524,0.4,0.1223,1.0,0.25,0,qFg-2IZP633Y62fB_lj_0f95rM8fQM8l3wdrDVdct0qDM00u8C6roZ_UR9yEr_mpq9nGgWTAE0Vx3A,BR1_3252753176,14.0,11.0,8.512,0
0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,,0,,,,,,,,,0,qFg-2IZP633Y62fB_lj_0f95rM8fQM8l3wdrDVdct0qDM00u8C6roZ_UR9yEr_mpq9nGgWTAE0Vx3A,BR1_3252750156,14.0,11.0,-23.376,0
7.0631,0.0,0.3285,0.4615,0.2165,4,0.0,7.3299,0.0,0.4679,0.4286,0.2946,2,0.0667,9.9418,0.0,0.4142,1.0,0.2813,1.0,0.2,0,qFg-2IZP633Y62fB_lj_0f95rM8fQM8l3wdrDVdct0qDM00u8C6roZ_UR9yEr_mpq9nGgWTAE0Vx3A,BR1_3252654356,12.176,12.824,4.828,0
